mega_cd,mega_nm,land_area
"11","서울특별시",605.301454539519
"26","부산광역시",784.587879336305
"28","인천광역시",1109.57812647467
"27","대구광역시",1492.65721071879
"29","광주광역시",498.015743906208
"30","대전광역시",539.472077305178
"31","울산광역시",1063.04378107059
"41","경기도",10337.4486592058
"51","강원특별자치도",16809.6438543318
"43","충청북도",7408.39689090164
"44","충청남도",8264.50262600519
"52","전북특별자치도",8142.22007857088
"46","전라남도",12443.0131366851
"47","경상북도",18416.6797658963
"48","경상남도",10555.9303192954
"50","제주특별자치도",1865.03949515337
"36","세종특별자치시",464.842579696807
